# File: 1_F_steel_200R_F_5_6_finished_steel_production.csv
# Title: Finished steel production by IEDC region, 1900-2008
# Units: Gg
# Description: Finished steel production from steel forming to the finished steel market
# Source: IEDC database (https://www.database.industrialecology.uni-freiburg.de/); Pauliuk et al. (2013), doi:10.1016/j.resconrec.2012.11.008
# Column types: ncccccccncccccncccccccccc
# ----------
id,dataset_name,aspect 1 : element,aspect 2 : commodity,aspect 3 : origin_process,aspect 4 : origin_region,aspect 5 : destination_process,aspect 6 : destination_region,aspect 7 : time,aspect 8 : ,aspect 9 : ,aspect 10 : ,aspect 11 : ,aspect 12 : ,value,unitcode,unitcode1,stats_array_1,stats_array_2,stats_array_3,stats_array_4,comment,reserve1,reserve2,reserve3
488463,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,2003,,,,,,0.325035,Gg,yr,No uncertainty,,,,,,,
488464,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,2004,,,,,,1.673926931,Gg,yr,No uncertainty,,,,,,,
488465,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,2005,,,,,,0.630192858,Gg,yr,No uncertainty,,,,,,,
488466,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,2006,,,,,,0.150869803,Gg,yr,No uncertainty,,,,,,,
488467,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,2007,,,,,,0.150869803,Gg,yr,No uncertainty,,,,,,,
488468,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,2008,,,,,,0.150869803,Gg,yr,No uncertainty,,,,,,,
488469,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Albania,Finished steel market,Albania,1900,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488470,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Albania,Finished steel market,Albania,1901,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488471,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Albania,Finished steel market,Albania,1902,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488472,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Albania,Finished steel market,Albania,1903,,,,,,0,Gg,yr,No uncertainty,,,,,,,
