# File: 1_F_steel_200R_F_11_12_final_steel_consumption.csv
# Title: Final steel consumption by IEDC region, 1900-2008
# Units: Gg
# Description: Final steel consumption from the market for final products to the use phase
# Source: IEDC database (https://www.database.industrialecology.uni-freiburg.de/); Pauliuk et al. (2013), doi:10.1016/j.resconrec.2012.11.008
# Column types: ncccccccncccccncccccccccc
# ----------
id,dataset_name,aspect 1 : element,aspect 2 : commodity,aspect 3 : origin_process,aspect 4 : origin_region,aspect 5 : destination_process,aspect 6 : destination_region,aspect 7 : time,aspect 8 : ,aspect 9 : ,aspect 10 : ,aspect 11 : ,aspect 12 : ,value,unitcode,unitcode1,stats_array_1,stats_array_2,stats_array_3,stats_array_4,comment,reserve1,reserve2,reserve3
599829,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1971,,,,,,15.78074024,Gg,yr,No uncertainty,,,,,,,
599830,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1972,,,,,,12.04690592,Gg,yr,No uncertainty,,,,,,,
599831,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1973,,,,,,10.34757776,Gg,yr,No uncertainty,,,,,,,
599832,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1974,,,,,,10.80745826,Gg,yr,No uncertainty,,,,,,,
599833,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1975,,,,,,14.28745569,Gg,yr,No uncertainty,,,,,,,
599834,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1976,,,,,,19.28175178,Gg,yr,No uncertainty,,,,,,,
599835,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1977,,,,,,31.41454674,Gg,yr,No uncertainty,,,,,,,
599836,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1978,,,,,,19.14039874,Gg,yr,No uncertainty,,,,,,,
599837,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1979,,,,,,15.75134924,Gg,yr,No uncertainty,,,,,,,
599838,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1980,,,,,,13.31321945,Gg,yr,No uncertainty,,,,,,,
599839,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1981,,,,,,11.45098985,Gg,yr,No uncertainty,,,,,,,
599840,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1982,,,,,,11.13555315,Gg,yr,No uncertainty,,,,,,,
599841,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1983,,,,,,14.22282968,Gg,yr,No uncertainty,,,,,,,
599842,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1984,,,,,,15.88482057,Gg,yr,No uncertainty,,,,,,,
599843,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1985,,,,,,11.86942698,Gg,yr,No uncertainty,,,,,,,
599844,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1986,,,,,,11.72678758,Gg,yr,No uncertainty,,,,,,,
599845,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1987,,,,,,12.72052783,Gg,yr,No uncertainty,,,,,,,
599846,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1988,,,,,,10.28900488,Gg,yr,No uncertainty,,,,,,,
599847,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1989,,,,,,5.819122538,Gg,yr,No uncertainty,,,,,,,
599848,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1990,,,,,,6.126544215,Gg,yr,No uncertainty,,,,,,,
599849,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1991,,,,,,6.351468297,Gg,yr,No uncertainty,,,,,,,
599850,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1992,,,,,,5.396080228,Gg,yr,No uncertainty,,,,,,,
599851,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1993,,,,,,5.233465006,Gg,yr,No uncertainty,,,,,,,
599852,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1994,,,,,,7.814561719,Gg,yr,No uncertainty,,,,,,,
599853,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1995,,,,,,5.481009021,Gg,yr,No uncertainty,,,,,,,
599854,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1996,,,,,,13.73172873,Gg,yr,No uncertainty,,,,,,,
599855,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1997,,,,,,29.31289826,Gg,yr,No uncertainty,,,,,,,
599856,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1998,,,,,,130.6765381,Gg,yr,No uncertainty,,,,,,,
599857,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1999,,,,,,194.233389,Gg,yr,No uncertainty,,,,,,,
599858,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,2000,,,,,,24.90426188,Gg,yr,No uncertainty,,,,,,,
599859,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,2001,,,,,,38.85764438,Gg,yr,No uncertainty,,,,,,,
599860,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,2002,,,,,,83.33452495,Gg,yr,No uncertainty,,,,,,,
599861,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,2003,,,,,,203.4587763,Gg,yr,No uncertainty,,,,,,,
599862,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,2004,,,,,,237.448542,Gg,yr,No uncertainty,,,,,,,
599863,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,2005,,,,,,281.1127162,Gg,yr,No uncertainty,,,,,,,
599864,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,2006,,,,,,211.1050408,Gg,yr,No uncertainty,,,,,,,
599865,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,2007,,,,,,211.1050408,Gg,yr,No uncertainty,,,,,,,
599866,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,2008,,,,,,211.1050408,Gg,yr,No uncertainty,,,,,,,
599867,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Albania,Use phase,Albania,1900,,,,,,0,Gg,yr,No uncertainty,,,,,,,
599868,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Albania,Use phase,Albania,1901,,,,,,7.62E-05,Gg,yr,No uncertainty,,,,,,,
599869,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Albania,Use phase,Albania,1902,,,,,,0.000152437,Gg,yr,No uncertainty,,,,,,,
599870,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Albania,Use phase,Albania,1903,,,,,,0.000228655,Gg,yr,No uncertainty,,,,,,,
599871,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Albania,Use phase,Albania,1904,,,,,,0.000304874,Gg,yr,No uncertainty,,,,,,,
599872,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Albania,Use phase,Albania,1905,,,,,,0.000381092,Gg,yr,No uncertainty,,,,,,,
599873,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Albania,Use phase,Albania,1906,,,,,,0.00045731,Gg,yr,No uncertainty,,,,,,,
599874,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Albania,Use phase,Albania,1907,,,,,,0.000533529,Gg,yr,No uncertainty,,,,,,,
599875,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Albania,Use phase,Albania,1908,,,,,,0.000609747,Gg,yr,No uncertainty,,,,,,,
599876,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Albania,Use phase,Albania,1909,,,,,,0.000685966,Gg,yr,No uncertainty,,,,,,,
599877,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Albania,Use phase,Albania,1910,,,,,,0.000762184,Gg,yr,No uncertainty,,,,,,,
599878,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Albania,Use phase,Albania,1911,,,,,,0.000838403,Gg,yr,No uncertainty,,,,,,,
599879,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Albania,Use phase,Albania,1912,,,,,,0.000914621,Gg,yr,No uncertainty,,,,,,,
599880,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Albania,Use phase,Albania,1913,,,,,,0.000990839,Gg,yr,No uncertainty,,,,,,,
599881,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Albania,Use phase,Albania,1914,,,,,,0.001067058,Gg,yr,No uncertainty,,,,,,,
599882,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Albania,Use phase,Albania,1915,,,,,,0.001143276,Gg,yr,No uncertainty,,,,,,,
